station,model,target,rmse,mae,r2,n_rows
AIIMS,ROUTED,y_PM2.5_t+1,3.7793986797332764,1.9728702306747437,0.9666314776213386,0
AIIMS,ROUTED,y_PM10_t+1,0.2171371579170227,0.11422935873270035,0.9274009100439882,0
AIIMS,ROUTED,y_NO2_t+1,0.06321348994970322,0.03453647345304489,0.993884447939099,0
AIIMS,ROUTED,y_SO2_t+1,0.4923042058944702,0.09056597203016281,0.20304498417814232,0
AIIMS,ROUTED,y_CO_t+1,0.12812703847885132,0.05442246049642563,0.93850989861321,0
AIIMS,ROUTED,y_O3_t+1,0.27867475152015686,0.11820923537015915,0.4923282985687395,0
AIIMS,ROUTED,y_NH3_t+1,0.04711786285042763,0.0227454025298357,0.9522940142168398,0
AIIMS,ROUTED,y_NO_t+1,0.2570067048072815,0.08309786766767502,0.9401212410272841,0
AIIMS,ROUTED,y_NOX_t+1,0.1823444366455078,0.06121218949556351,0.962750061929589,0
AIIMS,ROUTED,y_BENZ_t+1,0.10735239088535309,0.05381840467453003,0.8797826692185728,0
BHATAGAON,ROUTED,y_PM2.5_t+1,6.311375141143799,2.2112081050872803,0.8336046039248711,0
BHATAGAON,ROUTED,y_PM10_t+1,0.42270979285240173,0.10309335589408875,0.6757791776787949,0
BHATAGAON,ROUTED,y_NO2_t+1,0.1943143904209137,0.08704312890768051,0.6920980883301479,0
BHATAGAON,ROUTED,y_SO2_t+1,0.2581600844860077,0.07919076830148697,0.24110462146055656,0
BHATAGAON,ROUTED,y_CO_t+1,0.8673895597457886,0.1284063458442688,0.5160733968516689,0
BHATAGAON,ROUTED,y_O3_t+1,0.9636203646659851,0.16285189986228943,-0.3444422193447596,0
BHATAGAON,ROUTED,y_NH3_t+1,0.015040267258882523,0.00464102067053318,-0.6395997704382752,0
BHATAGAON,ROUTED,y_NO_t+1,0.2898472845554352,0.1316206306219101,0.9259572568828621,0
BHATAGAON,ROUTED,y_NOX_t+1,0.1750064492225647,0.09267514199018478,0.9005627566240607,0
BHATAGAON,ROUTED,y_BENZ_t+1,0.05360288545489311,0.005780783481895924,0.7799281283027504,0
IGKV,ROUTED,y_PM2.5_t+1,2.9818503856658936,1.6395604610443115,0.9654718494798884,0
IGKV,ROUTED,y_PM10_t+1,0.16476760804653168,0.09422480314970016,0.9039770097472533,0
IGKV,ROUTED,y_NO2_t+1,0.08653039485216141,0.023775404319167137,0.837838811132219,0
IGKV,ROUTED,y_SO2_t+1,0.32410892844200134,0.08516349643468857,0.38022457042408464,0
IGKV,ROUTED,y_CO_t+1,0.19765448570251465,0.06275312602519989,0.7833254207879309,0
IGKV,ROUTED,y_O3_t+1,0.5909420847892761,0.11472420394420624,0.2559190330436337,0
IGKV,ROUTED,y_NH3_t+1,0.06128459423780441,0.025756826624274254,0.4554653018596423,0
IGKV,ROUTED,y_NO_t+1,0.23443296551704407,0.04288269206881523,0.6516574475981856,0
IGKV,ROUTED,y_NOX_t+1,0.2036532312631607,0.04119586944580078,0.6160958843977415,0
IGKV,ROUTED,y_BENZ_t+1,0.035737909376621246,0.014673744328320026,0.9544796950822496,0
SILTARA,ROUTED,y_PM2.5_t+1,7.584689617156982,2.944113254547119,0.9080743671572278,0
SILTARA,ROUTED,y_PM10_t+1,0.5609281659126282,0.24972592294216156,0.7783646237508259,0
SILTARA,ROUTED,y_NO2_t+1,0.2179257869720459,0.101337730884552,0.7234476632195634,0
SILTARA,ROUTED,y_SO2_t+1,0.3105278015136719,0.0993252843618393,-1.3053789360199741,0
SILTARA,ROUTED,y_CO_t+1,0.28948578238487244,0.17627465724945068,0.4486140540540541,0
SILTARA,ROUTED,y_O3_t+1,2.673431396484375,0.2128480076789856,-0.02292497922302439,0
SILTARA,ROUTED,y_NH3_t+1,0.05601246654987335,0.027582082897424698,0.3125148045868019,0
SILTARA,ROUTED,y_NO_t+1,0.39441922307014465,0.18756823241710663,0.8879139665486887,0
SILTARA,ROUTED,y_NOX_t+1,0.2833392322063446,0.14237219095230103,0.8685604528059779,0
SILTARA,ROUTED,y_BENZ_t+1,0.02706841565668583,0.010396844707429409,0.7993831997306217,0
ALL,ROUTED,y_PM2.5_t+1,5.2737135887146,2.126035690307617,0.9258273480807125,57244
ALL,ROUTED,y_PM10_t+1,0.3544907569885254,0.12787064909934998,0.8225587978082683,57244
ALL,ROUTED,y_NO2_t+1,0.1485864371061325,0.05890132859349251,0.9295695289886069,57244
ALL,ROUTED,y_SO2_t+1,0.3665922284126282,0.08725083619356155,0.22124073847252523,57244
ALL,ROUTED,y_CO_t+1,0.5085118412971497,0.09841731190681458,0.6063282848645772,57244
ALL,ROUTED,y_O3_t+1,1.2345534563064575,0.1462085247039795,-0.02556191677550501,57244
ALL,ROUTED,y_NH3_t+1,0.04578360915184021,0.018618905916810036,0.9220617061374711,57244
ALL,ROUTED,y_NO_t+1,0.28866350650787354,0.10563693940639496,0.92136434159895,57244
ALL,ROUTED,y_NOX_t+1,0.20435330271720886,0.07931607961654663,0.9248178938202389,57244
ALL,ROUTED,y_BENZ_t+1,0.06967868655920029,0.02338096871972084,0.9435934376364781,57244
