station,model,target,rmse,mae,r2,n_rows
SILTARA,multi_ridge,y_PM10_t+1,0.5592387914657593,0.2495532631874084,0.7780992765796622,9196
SILTARA,multi_ridge,y_NO2_t+1,0.2171726077795028,0.0975811406970024,0.7225999365412878,9196
SILTARA,multi_ridge,y_SO2_t+1,0.3101735413074493,0.1004297509789466,-1.0647151589626014,9196
SILTARA,multi_ridge,y_CO_t+1,0.2881768941879272,0.1753129661083221,0.4489640404895927,9196
SILTARA,multi_ridge,y_O3_t+1,2.854205369949341,0.2300716638565063,-0.1780841086733924,9196
SILTARA,multi_ridge,y_NH3_t+1,0.0557507760822773,0.0274421628564596,0.3123027092613812,9196
SILTARA,multi_ridge,y_NO_t+1,0.3818424940109253,0.1572421789169311,0.8939792339114454,9196
SILTARA,multi_ridge,y_NOX_t+1,0.258344292640686,0.1208442971110344,0.8896986093062345,9196
SILTARA,multi_ridge,y_BENZ_t+1,0.5964010953903198,0.163816824555397,-96.95699443603635,9196
ALL,multi_rf,y_PM2.5_t+1,9.19388198852539,3.654662132263184,0.7793002444511403,57624
ALL,multi_rf,y_PM10_t+1,0.5188753604888916,0.2541969418525696,0.6187649233548493,57624
ALL,multi_rf,y_NO2_t+1,0.4142266511917114,0.2621593177318573,0.4494930804916189,57624
ALL,multi_rf,y_SO2_t+1,0.5418602824211121,0.2266235798597335,-0.6541877511628598,57624
ALL,multi_rf,y_CO_t+1,2.051910877227783,0.4091472029685974,-5.436843171627657,57624
ALL,multi_rf,y_O3_t+1,1.2154405117034912,0.2558749616146087,-0.0004879244662809,57624
ALL,multi_rf,y_NH3_t+1,0.2344432771205902,0.1519819498062133,-1.046511158319306,57624
ALL,multi_rf,y_NO_t+1,0.6916648745536804,0.4083777964115143,0.5469232555480448,57624
ALL,multi_rf,y_NOX_t+1,0.3461086750030517,0.2177070379257202,0.7835813871832867,57624
ALL,multi_rf,y_BENZ_t+1,0.2989622354507446,0.1927482932806015,-0.0434487554767235,57624
AIIMS,multi_rf,y_PM2.5_t+1,6.671910285949707,3.6557271480560303,0.8956531647590729,17823
AIIMS,multi_rf,y_PM10_t+1,0.3484069108963012,0.2267146855592727,0.8125404729619672,17823
AIIMS,multi_rf,y_NO2_t+1,0.3147276937961578,0.2199615687131881,0.8479664004945,17823
